cached_image_finite_fraction,cached_image_max,cached_image_mean,cached_image_min,cached_image_nonzero_pixels,cached_image_numel,cached_image_shape,cached_image_std,cached_mask_finite_fraction,cached_mask_max,cached_mask_mean,cached_mask_min,cached_mask_nonzero_pixels,cached_mask_numel,cached_mask_shape,cached_mask_std,gt_positive_pixels_at_0.5,image_name,model_input_finite_fraction,model_input_max,model_input_mean,model_input_min,model_input_nonzero_pixels,model_input_numel,model_input_shape,model_input_std,possible_double_scaling,prediction_positive_pixels,probability_finite_fraction,probability_max,probability_mean,probability_min,probability_nonzero_pixels,probability_numel,probability_shape,probability_std,processed_mask_finite_fraction,processed_mask_max,processed_mask_mean,processed_mask_min,processed_mask_nonzero_pixels,processed_mask_numel,processed_mask_shape,processed_mask_std
1.0,0.014194921590387821,0.001763394451700151,0.0,778530,786432,3x512x512,0.0018460069550201297,1.0,1.0,0.033477783203125,0.0,8776,262144,1x512x512,0.17988057434558868,0,ISPY1_1005,1.0,-0.9998886585235596,-0.9999861717224121,-1.0,786432,786432,3x512x512,1.4478513548965566e-05,True,0,1.0,0.12178519368171692,0.001720131142064929,1.0168320159209543e-06,262144,262144,1x512x512,0.012838026508688927,1.0,0.003921568859368563,0.00013128542923368514,0.0,8776,262144,1x512x512,0.0007054140442050993
1.0,0.01727919839322567,0.0026798148173838854,0.0002403332618996501,786432,786432,3x512x512,0.0019711097702383995,1.0,1.0,0.0177154541015625,0.0,4644,262144,1x512x512,0.13191518187522888,0,ISPY1_1007,1.0,-0.9998644590377808,-0.9999790191650391,-0.9999980926513672,786432,786432,3x512x512,1.545920895296149e-05,True,0,1.0,0.12178124487400055,0.000868109695147723,2.352495357627049e-06,262144,262144,1x512x512,0.009298584423959255,1.0,0.003921568859368563,6.947237852727994e-05,0.0,4644,262144,1x512x512,0.0005173144745640457
1.0,0.0064031644724309444,0.0004644256259780377,0.0,769278,786432,3x512x512,0.000737484369892627,1.0,1.0,0.0137786865234375,0.0,3612,262144,1x512x512,0.11657115817070007,0,ISPY1_1017,1.0,-0.9999497532844543,-0.9999963641166687,-1.0,786432,786432,3x512x512,5.783929282188183e-06,True,0,1.0,0.0012202290818095207,1.6397862054873258e-05,2.471740799592226e-06,262144,262144,1x512x512,3.27044544974342e-05,1.0,0.003921568859368563,5.4034069762565196e-05,0.0,3612,262144,1x512x512,0.00045714181032963097
1.0,0.009825052693486214,0.0008382535888813436,0.0,778341,786432,3x512x512,0.0009164946968667209,1.0,1.0,0.0288543701171875,0.0,7564,262144,1x512x512,0.16739711165428162,0,ISPY1_1027,1.0,-0.9999229311943054,-0.9999933242797852,-1.0,786432,786432,3x512x512,7.188367362687131e-06,True,0,1.0,0.07359570264816284,3.9636139263166115e-05,2.4206851776398253e-06,262144,262144,1x512x512,0.000813885300885886,1.0,0.003921568859368563,0.00011315439769532531,0.0,7564,262144,1x512x512,0.0006564593059010804
1.0,0.004448072984814644,0.00044268419151194394,0.0,769278,786432,3x512x512,0.0006024664617143571,1.0,1.0,0.0297088623046875,0.0,7788,262144,1x512x512,0.16978293657302856,0,ISPY1_1036,1.0,-0.9999651312828064,-0.9999964833259583,-1.0,786432,786432,3x512x512,4.724702648672974e-06,True,0,1.0,0.0009275307529605925,1.6477824829053134e-05,2.4780613330221968e-06,262144,262144,1x512x512,3.0186205549398437e-05,1.0,0.003921568859368563,0.00011650535452645272,0.0,7788,262144,1x512x512,0.0006658154889009893
1.0,0.011776329949498177,0.0010532495798543096,5.7222205214202404e-05,786432,786432,3x512x512,0.0013015266740694642,1.0,1.0,0.0646820068359375,0.0,16956,262144,1x512x512,0.245963916182518,0,ISPY1_1040,1.0,-0.9999076128005981,-0.9999917149543762,-0.9999995231628418,786432,786432,3x512x512,1.0208053026872221e-05,True,0,1.0,0.003932072315365076,2.55673767242115e-05,2.4007526917557698e-06,262144,262144,1x512x512,7.993502367753536e-05,1.0,0.003921568859368563,0.0002536549582146108,0.0,16956,262144,1x512x512,0.0009645643876865506
1.0,0.01483008824288845,0.001464874017983675,0.00014496291987597942,786432,786432,3x512x512,0.001304267323575914,1.0,1.0,0.0070037841796875,0.0,1836,262144,1x512x512,0.08339503407478333,0,ISPY1_1042,1.0,-0.9998837113380432,-0.9999885559082031,-0.9999988675117493,786432,786432,3x512x512,1.0230513908027206e-05,True,0,1.0,0.12190850079059601,0.00046455691335722804,2.2509261725645047e-06,262144,262144,1x512x512,0.006435513962060213,1.0,0.003921568859368563,2.7465821403893642e-05,0.0,1836,262144,1x512x512,0.0003270393644925207
1.0,0.006925794295966625,0.00078973249765113,0.0,763884,786432,3x512x512,0.001040856004692614,1.0,1.0,0.02532958984375,0.0,6640,262144,1x512x512,0.15712416172027588,0,ISPY1_1051,1.0,-0.9999457001686096,-0.9999938011169434,-1.0,786432,786432,3x512x512,8.163470738509204e-06,True,0,1.0,0.0035230384673923254,2.0785053493455052e-05,2.4449955162708648e-06,262144,262144,1x512x512,6.999426113907248e-05,1.0,0.003921568859368563,9.933172987075523e-05,0.0,6640,262144,1x512x512,0.0006161732017062604
1.0,0.005991164594888687,0.0008727047243155539,0.00013542588567361236,786432,786432,3x512x512,0.000671735149808228,1.0,1.0,0.004241943359375,0.0,1112,262144,1x512x512,0.06499191373586655,0,ISPY1_1053,1.0,-0.999953031539917,-0.9999931454658508,-0.999998927116394,786432,786432,3x512x512,5.269585471978644e-06,True,0,1.0,0.00108781224116683,1.619408794795163e-05,2.4744579150137724e-06,262144,262144,1x512x512,2.2311822249321267e-05,1.0,0.003921568859368563,1.663507464400027e-05,0.0,1112,262144,1x512x512,0.0002548702759668231
1.0,0.014719458296895027,0.0021909878123551607,0.0001544999540783465,786432,786432,3x512x512,0.0022255515214055777,1.0,1.0,0.0142822265625,0.0,3744,262144,1x512x512,0.11865177750587463,0,ISPY1_1072,1.0,-0.9998845458030701,-0.9999827742576599,-0.9999988079071045,786432,786432,3x512x512,1.7456291971029714e-05,True,0,1.0,0.0008511664345860481,2.068354660877958e-05,2.367344904996571e-06,262144,262144,1x512x512,2.8964632292627357e-05,1.0,0.003921568859368563,5.600873555522412e-05,0.0,3744,262144,1x512x512,0.0004653011274058372
1.0,0.020327236503362656,0.002524994546547532,0.00016212958144024014,786432,786432,3x512x512,0.002812810707837343,1.0,1.0,0.00830078125,0.0,2176,262144,1x512x512,0.09072969853878021,0,ISPY1_1074,1.0,-0.9998405575752258,-0.9999802112579346,-0.9999987483024597,786432,786432,3x512x512,2.206194039899856e-05,True,0,1.0,0.12093649059534073,0.0005356980254873633,2.373624965912313e-06,262144,262144,1x512x512,0.005959011614322662,1.0,0.003921568859368563,3.255208503105678e-05,0.0,2176,262144,1x512x512,0.000355802767444402
1.0,0.009365367703139782,0.0010481711942702532,0.00011825922410935163,786432,786432,3x512x512,0.0009669833816587925,1.0,1.0,0.0106658935546875,0.0,2796,262144,1x512x512,0.10272356867790222,0,ISPY1_1082,1.0,-0.9999265670776367,-0.9999918341636658,-0.9999990463256836,786432,786432,3x512x512,7.585239927720977e-06,True,0,1.0,0.008076678030192852,2.296986713190563e-05,2.396502623014385e-06,262144,262144,1x512x512,0.0001480236096540466,1.0,0.003921568859368563,4.182703560218215e-05,0.0,2796,262144,1x512x512,0.0004028375551570207
1.0,0.045072026550769806,0.004167752806097269,0.0,538068,786432,3x512x512,0.0058056204579770565,1.0,1.0,0.040863037109375,0.0,10712,262144,1x512x512,0.1979728490114212,0,ISPY1_1084,1.0,-0.9996464848518372,-0.9999672770500183,-1.0,786432,786432,3x512x512,4.553415783448145e-05,True,0,1.0,0.1273544281721115,0.00398553442209959,2.2931990315555595e-06,262144,262144,1x512x512,0.020997393876314163,1.0,0.003921568859368563,0.00016024721844587475,0.0,10712,262144,1x512x512,0.0007763641769997776
1.0,0.00790810864418745,0.0006336223450489342,0.0,776301,786432,3x512x512,0.000812022655736655,1.0,1.0,0.01678466796875,0.0,4400,262144,1x512x512,0.1284637749195099,0,ISPY1_1087,1.0,-0.9999379515647888,-0.9999949932098389,-1.0,786432,786432,3x512x512,6.368319645844167e-06,True,0,1.0,0.04723688215017319,4.6758519602008164e-05,2.4741511879255995e-06,262144,262144,1x512x512,0.0007341258460655808,1.0,0.003921568859368563,6.58222270430997e-05,0.0,4400,262144,1x512x512,0.0005037795635871589
1.0,0.9659907817840576,0.09756404161453247,0.0,508332,786432,3x512x512,0.14154866337776184,1.0,1.0,0.067962646484375,0.0,17816,262144,1x512x512,0.2516818046569824,0,ISPY1_1089,1.0,-0.9924235939979553,-0.9992347359657288,-1.0,786432,786432,3x512x512,0.0011101854033768177,True,0,1.0,0.17084497213363647,0.005859811324626207,2.0150946511421353e-06,262144,262144,1x512x512,0.025997338816523552,1.0,0.003921568859368563,0.0002665202191565186,0.0,17816,262144,1x512x512,0.000986987492069602
1.0,0.008632923476397991,0.0010175792267546058,0.00013733329251408577,786432,786432,3x512x512,0.0010778631549328566,1.0,1.0,0.0205078125,0.0,5376,262144,1x512x512,0.141729474067688,0,ISPY1_1090,1.0,-0.9999322891235352,-0.9999919533729553,-0.999998927116394,786432,786432,3x512x512,8.454963790427428e-06,True,0,1.0,0.004288122523576021,2.3134483853937127e-05,2.406373141639051e-06,262144,262144,1x512x512,9.80354961939156e-05,1.0,0.003921568859368563,8.04227966000326e-05,0.0,5376,262144,1x512x512,0.0005558018456213176
1.0,0.009029664099216461,0.0008383500389754772,0.0,754668,786432,3x512x512,0.0012688555289059877,1.0,1.0,0.017303466796875,0.0,4536,262144,1x512x512,0.13039959967136383,0,ISPY1_1094,1.0,-0.9999291896820068,-0.9999933838844299,-1.0,786432,786432,3x512x512,9.951340871339198e-06,True,0,1.0,0.01300295814871788,3.3908378100022674e-05,2.4135874809871893e-06,262144,262144,1x512x512,0.00025908462703227997,1.0,0.003921568859368563,6.785673031117767e-05,0.0,4536,262144,1x512x512,0.0005113710067234933
1.0,0.012966551817953587,0.0008873012848198414,0.0,786396,786432,3x512x512,0.0009911397937685251,1.0,1.0,0.0297393798828125,0.0,7796,262144,1x512x512,0.16986744105815887,0,ISPY1_1097,1.0,-0.9998983144760132,-0.9999930262565613,-1.0,786432,786432,3x512x512,7.772413482598495e-06,True,0,1.0,0.12035566568374634,0.0003968771197833121,2.297051423738594e-06,262144,262144,1x512x512,0.005440623965114355,1.0,0.003921568859368563,0.00011662502947729081,0.0,7796,262144,1x512x512,0.0006661468651145697
1.0,0.007677312474697828,0.0008530421182513237,0.0,742479,786432,3x512x512,0.0012666448019444942,1.0,1.0,0.0460205078125,0.0,12064,262144,1x512x512,0.20952951908111572,0,ISPY1_1101,1.0,-0.9999397993087769,-0.9999932646751404,-1.0,786432,786432,3x512x512,9.934081390383653e-06,True,0,1.0,0.03629182651638985,5.2758990932488814e-05,2.427745812383364e-06,262144,262144,1x512x512,0.0007174120983108878,1.0,0.003921568859368563,0.00018047257617581636,0.0,12064,262144,1x512x512,0.0008216844289563596
1.0,0.011383404023945332,0.0012442556908354163,3.0518509447574615e-05,786432,786432,3x512x512,0.0013538768980652094,1.0,1.0,0.007904052734375,0.0,2072,262144,1x512x512,0.08855269104242325,0,ISPY1_1103,1.0,-0.9999107122421265,-0.9999902248382568,-0.9999997615814209,786432,786432,3x512x512,1.06225897980039e-05,True,0,1.0,0.06738823652267456,6.380849663401023e-05,1.0835686907739728e-06,262144,262144,1x512x512,0.0009622635552659631,1.0,0.003921568859368563,3.099628520430997e-05,0.0,2072,262144,1x512x512,0.00034726547892205417
1.0,0.004211554303765297,0.0005830226000398397,3.0518509447574615e-05,786432,786432,3x512x512,0.0005079711554571986,1.0,1.0,0.0401763916015625,0.0,10532,262144,1x512x512,0.19637273252010345,0,ISPY1_1114,1.0,-0.9999669790267944,-0.9999955296516418,-0.9999997615814209,786432,786432,3x512x512,3.990158802480437e-06,True,0,1.0,0.0001729893556330353,1.4957870916987304e-05,2.4983498860819964e-06,262144,262144,1x512x512,6.11297537034261e-06,1.0,0.003921568859368563,0.00015755447384435683,0.0,10532,262144,1x512x512,0.0007700891583226621
1.0,0.012451551854610443,0.0013609292218461633,0.00014687032671645284,786432,786432,3x512x512,0.0018179265316575766,1.0,1.0,0.087738037109375,0.0,23000,262144,1x512x512,0.28291353583335876,0,ISPY1_1139,1.0,-0.9999023675918579,-0.9999893307685852,-0.9999988675117493,786432,786432,3x512x512,1.4258584087656345e-05,True,0,1.0,0.07140213996171951,0.00012706563575193286,2.366480430282536e-06,262144,262144,1x512x512,0.0013516892213374376,1.0,0.003921568859368563,0.0003440707514528185,0.0,23000,262144,1x512x512,0.0011094649089500308
1.0,0.004402294754981995,0.0003986619703937322,0.0,737244,786432,3x512x512,0.0006369090406224132,1.0,1.0,0.020751953125,0.0,5440,262144,1x512x512,0.14255283772945404,0,ISPY1_1140,1.0,-0.999965488910675,-0.9999968409538269,-1.0,786432,786432,3x512x512,4.994590653950581e-06,True,0,1.0,0.00017294086865149438,1.448281454941025e-05,2.476051122357603e-06,262144,262144,1x512x512,5.9923390836047474e-06,1.0,0.003921568859368563,8.138021075865254e-05,0.0,5440,262144,1x512x512,0.0005590307409875095
1.0,0.1538953185081482,0.01078647468239069,0.0,643038,786432,3x512x512,0.015610823407769203,1.0,1.0,0.045928955078125,0.0,12040,262144,1x512x512,0.20933105051517487,0,ISPY1_1141,1.0,-0.9987930059432983,-0.999915361404419,-1.0,786432,786432,3x512x512,0.0001224378211190924,True,0,1.0,0.12866151332855225,0.003032951382920146,2.6110169528692495e-06,262144,262144,1x512x512,0.0179832112044096,1.0,0.003921568859368563,0.00018011356587521732,0.0,12040,262144,1x512x512,0.0008209060761146247
